Persona Number,Persona,Tagline
P001,"Crypto Bro","Here for love. Or funding. Preferably both."
P002,"Life Coach at 23","I help people find their purpose from my parents' basement."
P003,"Digital Nomad","Will ghost you from a different timezone."
P004,"Plant Parent","Talk nicely to me or to my monstera; same result."
P005,"Gymfluencer","Swipe right if you love 4 a.m. alarms and whey protein burps."
P006,"I Swear I'm 6'0' Guy","Actually 5'10 but standing on integrity."
P007,"BookTok Baddie","Reads only enemies-to-lovers. Might apply it to you."
P008,"Dungeon Master","Will absolutely monologue. Will not apologize."
P009,"Verified Traveler","All photos taken at Machu Picchu. No further questions."
P010,"Pet Parent","I'm just here so my corgi can get brand deals."
P011,"Yoga Instructor","I'm flexible, but not about my boundaries."
P012,"Goth Witch","Burns sage… and bridges."
P013,"Algorithm Addict","Optimizing my profile more than my life."
P014,"Food Photographer","Meals must be lukewarm before eating."
P015,"Prepper","Swipe right if you like bunkers and emotional distance."
P016,"Praise Princess","I'm here for the compliments, not the commitment."
P017,"Star Gazer","If this date goes badly, I'm blaming the planets."
P018,"Sapiosexual","I'm attracted to intelligence, especially mine."
P019,"The Angler","Caught this fish. Still looking to catch feelings."
P020,"Denial Queen","Trying to rewrite my 20s by dating someone in theirs."
P021,"Bimbo","Wait… Canada's a country?"
P022,"The Polyamorist","Ethically insensitive. Free to be avoidant."
P023,"Single Parent","I'm only free when my kid's asleep."
P024,"Digital Pen Pal","I'm here for long paragraphs and zero plans."
P025,"Finance Guy","Yes, I work in finance. No, I can't explain what I do."
P026,"Minimalist","I own 4 items. One is emotional baggage."
P027,"Workaholic","Available on weekends. Sometimes."
P028,"Death Metalhead","Growls on stage, soft boi at heart."
P029,"Podcast Host","Has a podcast no one asked for."
P030,"Mistress of Mischief","Swipe left without permission and we'll have words."
P031,"Car Guy","My personality is Mazerati."
P032,"Cosplayer","I look different in every photo. Good luck."
P033,"Gamer Boyfriend","I promise I can pause… sometimes."
P034,"Wine Mom","It's always rosé o'clock somewhere."
P035,"Gravel Goblin","Eats dirt roads for breakfast. Needs someone to hold snacks."
P036,"Entrepreneur","Founder of three startups. All in stealth mode."
P037,"Conspiracy Theorist","Birds aren't real but our connection could be."
P038,"Hippie Anarchist","Lives in a van. Smells like... freedom."
P039,"K‑Drama Romantic","Looking for love. With dramatic rain scenes."
P040,"Geologist","My rocks have names. Respect them."
P041,"Freegan","Will eat anything as long as it was free."
P042,"NFT Artist","My art is intangible. My ego isn't."
P043,"Bluebeard","I give great vows. Long-term results may vary."
P044,"Historical Reenactor","I court like it's 1487."
P045,"DIYer","Everything is a project. Including you."
P046,"Ex-Influencer","Fame faded. Trauma stayed."
P047,"Baker","Kneads love."
P048,"Pottery Guy","Wants to recreate the Ghost scene."
P049,"Competitive Runner","Runs from problems at record pace."
P050,"The Livestream Influencer","Mind if I stream this? My followers need to meet you in real time."
